id,collected_at,observed_at,stn,source,temp_c,humidity_pct,wind_speed_ms,rain_mm,raw_fields,raw_line,api_url
1,2026-07-08T18:10:34.086373+09:00,2026-07-08T18:00:00+09:00,108,KMA_ASOS_HOURLY,26.2,77.0,2.9,,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""77.0"", ""IR"": ""3"", ""IX"": ""2"", ""PA"": ""996.0"", ""PR"": ""0.1"", ""PS"": ""1005.7"", ""PT"": ""1"", ""PV"": ""26.1"", ""RN"": ""-9.0"", ""SI"": ""0.48"", ""SS"": ""0.1"", ""TA"": ""26.2"", ""TD"": ""21.8"", ""TM"": ""202607081800"", ""TS"": ""26.4"", ""VS"": ""2621"", ""WC"": ""-9"", ""WD"": ""18"", ""WH"": ""-9.0"", ""WP"": ""-9"", ""WS"": ""2.9"", ""WW"": ""-"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""26.7"", ""TE_02"": ""26.5"", ""TE_03"": ""25.7"", ""CA_MID"": ""5"", ""CA_TOT"": ""6"", ""CH_MIN"": ""6"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""26.1"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""26.1"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""25.8""}",202607081800 108  18  2.9  -9 -9.0   -9  996.0 1005.7  1   0.1  26.2  21.8  77.0  26.1   -9.0   26.1   26.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   5    6 -         -9  -9  -9  2621  0.1  0.48 -9  26.4  25.8  26.7  26.5  25.7  -9 -9.0 -9  3  2,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
2,2026-07-08T19:05:27.548548+09:00,2026-07-08T19:00:00+09:00,108,KMA_ASOS_HOURLY,26.1,76.0,2.2,,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""76.0"", ""IR"": ""3"", ""IX"": ""-9"", ""PA"": ""996.0"", ""PR"": ""-9.0"", ""PS"": ""1005.7"", ""PT"": ""-9"", ""PV"": ""25.6"", ""RN"": ""-9.0"", ""SI"": ""0.38"", ""SS"": ""0.4"", ""TA"": ""26.1"", ""TD"": ""21.5"", ""TM"": ""202607081900"", ""TS"": ""25.2"", ""VS"": ""2681"", ""WC"": ""-9"", ""WD"": ""18"", ""WH"": ""-9.0"", ""WP"": ""-9"", ""WS"": ""2.2"", ""WW"": ""-"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""26.6"", ""TE_02"": ""26.6"", ""TE_03"": ""25.7"", ""CA_MID"": ""1"", ""CA_TOT"": ""3"", ""CH_MIN"": ""44"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""26.1"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""26.1"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""25.7""}",202607081900 108  18  2.2  -9 -9.0   -9  996.0 1005.7 -9  -9.0  26.1  21.5  76.0  25.6   -9.0   26.1   26.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   1   44 -         -9  -9  -9  2681  0.4  0.38 -9  25.2  25.7  26.6  26.6  25.7  -9 -9.0 -9  3 -9,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
3,2026-07-08T20:06:29.978292+09:00,2026-07-08T20:00:00+09:00,108,KMA_ASOS_HOURLY,25.7,77.0,1.0,,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""77.0"", ""IR"": ""3"", ""IX"": ""-9"", ""PA"": ""996.3"", ""PR"": ""-9.0"", ""PS"": ""1006.0"", ""PT"": ""-9"", ""PV"": ""25.3"", ""RN"": ""-9.0"", ""SI"": ""0.07"", ""SS"": ""0.0"", ""TA"": ""25.7"", ""TD"": ""21.3"", ""TM"": ""202607082000"", ""TS"": ""24.4"", ""VS"": ""2635"", ""WC"": ""-9"", ""WD"": ""20"", ""WH"": ""-9.0"", ""WP"": ""-9"", ""WS"": ""1.0"", ""WW"": ""-"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""26.4"", ""TE_02"": ""26.5"", ""TE_03"": ""25.8"", ""CA_MID"": ""4"", ""CA_TOT"": ""6"", ""CH_MIN"": ""7"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""26.1"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""26.1"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""25.4""}",202607082000 108  20  1.0  -9 -9.0   -9  996.3 1006.0 -9  -9.0  25.7  21.3  77.0  25.3   -9.0   26.1   26.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   4    7 -         -9  -9  -9  2635  0.0  0.07 -9  24.4  25.4  26.4  26.5  25.8  -9 -9.0 -9  3 -9,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
4,2026-07-08T21:04:54.030206+09:00,2026-07-08T21:00:00+09:00,108,KMA_ASOS_HOURLY,25.5,81.0,1.6,,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""81.0"", ""IR"": ""3"", ""IX"": ""2"", ""PA"": ""996.5"", ""PR"": ""0.5"", ""PS"": ""1006.2"", ""PT"": ""2"", ""PV"": ""26.3"", ""RN"": ""-9.0"", ""SI"": ""-9.00"", ""SS"": ""-9.0"", ""TA"": ""25.5"", ""TD"": ""21.9"", ""TM"": ""202607082100"", ""TS"": ""23.9"", ""VS"": ""2206"", ""WC"": ""-9"", ""WD"": ""16"", ""WH"": ""-9.0"", ""WP"": ""-9"", ""WS"": ""1.6"", ""WW"": ""-"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""26.2"", ""TE_02"": ""26.4"", ""TE_03"": ""25.8"", ""CA_MID"": ""4"", ""CA_TOT"": ""4"", ""CH_MIN"": ""6"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""26.1"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""26.1"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""25.2""}",202607082100 108  16  1.6  -9 -9.0   -9  996.5 1006.2  2   0.5  25.5  21.9  81.0  26.3   -9.0   26.1   26.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   4    6 -         -9  -9  -9  2206 -9.0 -9.00 -9  23.9  25.2  26.2  26.4  25.8  -9 -9.0 -9  3  2,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
5,2026-07-08T22:05:55.372586+09:00,2026-07-08T22:00:00+09:00,108,KMA_ASOS_HOURLY,25.2,82.0,0.4,,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""82.0"", ""IR"": ""3"", ""IX"": ""-9"", ""PA"": ""996.9"", ""PR"": ""-9.0"", ""PS"": ""1006.6"", ""PT"": ""-9"", ""PV"": ""26.3"", ""RN"": ""-9.0"", ""SI"": ""-9.00"", ""SS"": ""-9.0"", ""TA"": ""25.2"", ""TD"": ""21.9"", ""TM"": ""202607082200"", ""TS"": ""23.6"", ""VS"": ""2324"", ""WC"": ""-9"", ""WD"": ""0"", ""WH"": ""-9.0"", ""WP"": ""-9"", ""WS"": ""0.4"", ""WW"": ""-"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""26.0"", ""TE_02"": ""26.2"", ""TE_03"": ""25.8"", ""CA_MID"": ""2"", ""CA_TOT"": ""2"", ""CH_MIN"": ""5"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""26.1"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""26.1"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""25.0""}",202607082200 108   0  0.4  -9 -9.0   -9  996.9 1006.6 -9  -9.0  25.2  21.9  82.0  26.3   -9.0   26.1   26.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   2    5 -         -9  -9  -9  2324 -9.0 -9.00 -9  23.6  25.0  26.0  26.2  25.8  -9 -9.0 -9  3 -9,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
6,2026-07-08T23:07:39.064209+09:00,2026-07-08T23:00:00+09:00,108,KMA_ASOS_HOURLY,25.0,84.0,1.1,,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""84.0"", ""IR"": ""3"", ""IX"": ""-9"", ""PA"": ""996.9"", ""PR"": ""-9.0"", ""PS"": ""1006.6"", ""PT"": ""-9"", ""PV"": ""26.6"", ""RN"": ""-9.0"", ""SI"": ""-9.00"", ""SS"": ""-9.0"", ""TA"": ""25.0"", ""TD"": ""22.1"", ""TM"": ""202607082300"", ""TS"": ""23.8"", ""VS"": ""2097"", ""WC"": ""-9"", ""WD"": ""36"", ""WH"": ""-9.0"", ""WP"": ""-9"", ""WS"": ""1.1"", ""WW"": ""-"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""25.9"", ""TE_02"": ""26.1"", ""TE_03"": ""25.8"", ""CA_MID"": ""3"", ""CA_TOT"": ""3"", ""CH_MIN"": ""5"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""26.1"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""26.1"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""24.8""}",202607082300 108  36  1.1  -9 -9.0   -9  996.9 1006.6 -9  -9.0  25.0  22.1  84.0  26.6   -9.0   26.1   26.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   3    5 -         -9  -9  -9  2097 -9.0 -9.00 -9  23.8  24.8  25.9  26.1  25.8  -9 -9.0 -9  3 -9,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
7,2026-07-09T00:03:24.600927+09:00,2026-07-09T00:00:00+09:00,108,KMA_ASOS_HOURLY,25.0,83.0,1.3,,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""83.0"", ""IR"": ""3"", ""IX"": ""-9"", ""PA"": ""997.5"", ""PR"": ""1.0"", ""PS"": ""1007.2"", ""PT"": ""2"", ""PV"": ""26.3"", ""RN"": ""-9.0"", ""SI"": ""-9.00"", ""SS"": ""-9.0"", ""TA"": ""25.0"", ""TD"": ""21.9"", ""TM"": ""202607090000"", ""TS"": ""23.8"", ""VS"": ""2306"", ""WC"": ""-9"", ""WD"": ""14"", ""WH"": ""-9.0"", ""WP"": ""-9"", ""WS"": ""1.3"", ""WW"": ""-"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""25.8"", ""TE_02"": ""25.9"", ""TE_03"": ""25.8"", ""CA_MID"": ""9"", ""CA_TOT"": ""9"", ""CH_MIN"": ""4"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""26.1"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""26.1"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""24.7""}",202607090000 108  14  1.3  -9 -9.0   -9  997.5 1007.2  2   1.0  25.0  21.9  83.0  26.3   -9.0   26.1   26.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   9    4 -         -9  -9  -9  2306 -9.0 -9.00 -9  23.8  24.7  25.8  25.9  25.8  -9 -9.0 -9  3 -9,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
8,2026-07-09T01:08:21.831885+09:00,2026-07-09T01:00:00+09:00,108,KMA_ASOS_HOURLY,24.4,88.0,0.9,0.3,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""88.0"", ""IR"": ""4"", ""IX"": ""1"", ""PA"": ""997.6"", ""PR"": ""-9.0"", ""PS"": ""1007.4"", ""PT"": ""-9"", ""PV"": ""26.8"", ""RN"": ""0.3"", ""SI"": ""-9.00"", ""SS"": ""-9.0"", ""TA"": ""24.4"", ""TD"": ""22.2"", ""TM"": ""202607090100"", ""TS"": ""23.6"", ""VS"": ""788"", ""WC"": ""61"", ""WD"": ""18"", ""WH"": ""-9.0"", ""WP"": ""66"", ""WS"": ""0.9"", ""WW"": ""1901"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""25.7"", ""TE_02"": ""25.9"", ""TE_03"": ""25.8"", ""CA_MID"": ""8"", ""CA_TOT"": ""10"", ""CH_MIN"": ""6"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""0.3"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""0.3"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""24.6""}",202607090100 108  18  0.9  -9 -9.0   -9  997.6 1007.4 -9  -9.0  24.4  22.2  88.0  26.8    0.3    0.3    0.3   -9.0   -9.0   -9.0   -9.0 61 66 1901                    10   8    6 -         -9  -9  -9   788 -9.0 -9.00 -9  23.6  24.6  25.7  25.9  25.8  -9 -9.0 -9  4  1,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
9,2026-07-09T02:05:37.088560+09:00,2026-07-09T02:00:00+09:00,108,KMA_ASOS_HOURLY,24.3,92.0,0.6,0.2,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""92.0"", ""IR"": ""4"", ""IX"": ""1"", ""PA"": ""997.7"", ""PR"": ""-9.0"", ""PS"": ""1007.5"", ""PT"": ""-9"", ""PV"": ""27.9"", ""RN"": ""0.2"", ""SI"": ""-9.00"", ""SS"": ""-9.0"", ""TA"": ""24.3"", ""TD"": ""22.9"", ""TM"": ""202607090200"", ""TS"": ""23.6"", ""VS"": ""660"", ""WC"": ""61"", ""WD"": ""18"", ""WH"": ""-9.0"", ""WP"": ""66"", ""WS"": ""0.6"", ""WW"": ""1901"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""25.6"", ""TE_02"": ""25.8"", ""TE_03"": ""25.8"", ""CA_MID"": ""8"", ""CA_TOT"": ""10"", ""CH_MIN"": ""5"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""0.5"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""0.5"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""24.5""}",202607090200 108  18  0.6  -9 -9.0   -9  997.7 1007.5 -9  -9.0  24.3  22.9  92.0  27.9    0.2    0.5    0.5   -9.0   -9.0   -9.0   -9.0 61 66 1901                    10   8    5 -         -9  -9  -9   660 -9.0 -9.00 -9  23.6  24.5  25.6  25.8  25.8  -9 -9.0 -9  4  1,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
10,2026-07-09T03:08:03.771786+09:00,2026-07-09T03:00:00+09:00,108,KMA_ASOS_HOURLY,24.3,92.0,0.6,0.3,"{""BF"": ""-9"", ""CT"": ""-"", ""HM"": ""92.0"", ""IR"": ""4"", ""IX"": ""1"", ""PA"": ""997.7"", ""PR"": ""0.3"", ""PS"": ""1007.5"", ""PT"": ""1"", ""PV"": ""27.9"", ""RN"": ""0.3"", ""SI"": ""-9.00"", ""SS"": ""-9.0"", ""TA"": ""24.3"", ""TD"": ""22.9"", ""TM"": ""202607090300"", ""TS"": ""23.5"", ""VS"": ""469"", ""WC"": ""61"", ""WD"": ""9"", ""WH"": ""-9.0"", ""WP"": ""66"", ""WS"": ""0.6"", ""WW"": ""1901"", ""STN"": ""108"", ""ST_GD"": ""-9"", ""TE_01"": ""25.5"", ""TE_02"": ""25.7"", ""TE_03"": ""25.7"", ""CA_MID"": ""8"", ""CA_TOT"": ""10"", ""CH_MIN"": ""4"", ""CT_LOW"": ""-9"", ""CT_MID"": ""-9"", ""CT_TOP"": ""-9"", ""GST_TM"": ""-9"", ""GST_WD"": ""-9"", ""GST_WS"": ""-9.0"", ""RN_DAY"": ""0.8"", ""RN_INT"": ""-9.0"", ""RN_JUN"": ""0.8"", ""SD_DAY"": ""-9.0"", ""SD_HR3"": ""-9.0"", ""SD_TOT"": ""-9.0"", ""ST_SEA"": ""-9"", ""TE_005"": ""24.5""}",202607090300 108   9  0.6  -9 -9.0   -9  997.7 1007.5  1   0.3  24.3  22.9  92.0  27.9    0.3    0.8    0.8   -9.0   -9.0   -9.0   -9.0 61 66 1901                    10   8    4 -         -9  -9  -9   469 -9.0 -9.00 -9  23.5  24.5  25.5  25.7  25.7  -9 -9.0 -9  4  1,https://apihub.kma.go.kr/api/typ01/url/kma_sfctm2.php?tm=&stn=108&authKey=L_aqRjZLRCq2qkY2S3QqkA
